date,season,competition,league_match,home_team,away_team,home_score,away_score,home_pen,away_pen,penalties,shootout_winner,neutral,venue,event_id,stage
1996-04-06,1996,MLS,True,San Jose Earthquakes,D.C. United,1,0,,,False,,False,,fbcsv-mls-1996-1996-04-06-San Jose Earthquakes-D.C. United,Regular
1996-04-13,1996,MLS,True,LA Galaxy,Red Bull New York,2,1,,,False,,False,,fbcsv-mls-1996-1996-04-13-LA Galaxy-Red Bull New York,Regular
1996-04-13,1996,MLS,True,Tampa Bay Mutiny,New England Revolution,3,2,,,False,,False,,fbcsv-mls-1996-1996-04-13-Tampa Bay Mutiny-New England Revolution,Regular
1996-04-13,1996,MLS,True,Columbus Crew SC,D.C. United,4,0,,,False,,False,,fbcsv-mls-1996-1996-04-13-Columbus Crew SC-D.C. United,Regular
1996-04-13,1996,MLS,True,Sporting Kansas City,Colorado Rapids,3,0,,,False,,False,,fbcsv-mls-1996-1996-04-13-Sporting Kansas City-Colorado Rapids,Regular
1996-04-14,1996,MLS,True,FC Dallas,San Jose Earthquakes,1,0,,,False,,False,,fbcsv-mls-1996-1996-04-14-FC Dallas-San Jose Earthquakes,Regular
1996-04-18,1996,MLS,True,FC Dallas,Sporting Kansas City,3,0,,,False,,False,,fbcsv-mls-1996-1996-04-18-FC Dallas-Sporting Kansas City,Regular
1996-04-20,1996,MLS,True,D.C. United,LA Galaxy,1,2,,,False,,False,,fbcsv-mls-1996-1996-04-20-D.C. United-LA Galaxy,Regular
1996-04-20,1996,MLS,True,Columbus Crew SC,Tampa Bay Mutiny,1,2,,,False,,False,,fbcsv-mls-1996-1996-04-20-Columbus Crew SC-Tampa Bay Mutiny,Regular
1996-04-20,1996,MLS,True,Red Bull New York,New England Revolution,0,1,,,False,,False,,fbcsv-mls-1996-1996-04-20-Red Bull New York-New England Revolution,Regular
1996-04-21,1996,MLS,True,Colorado Rapids,FC Dallas,3,1,,,False,,False,,fbcsv-mls-1996-1996-04-21-Colorado Rapids-FC Dallas,Regular
1996-04-21,1996,MLS,True,San Jose Earthquakes,Sporting Kansas City,2,3,,,False,,False,,fbcsv-mls-1996-1996-04-21-San Jose Earthquakes-Sporting Kansas City,Regular
1996-04-27,1996,MLS,True,Red Bull New York,Columbus Crew SC,0,2,,,False,,False,,fbcsv-mls-1996-1996-04-27-Red Bull New York-Columbus Crew SC,Regular
1996-04-27,1996,MLS,True,New England Revolution,D.C. United,2,1,,,False,,False,,fbcsv-mls-1996-1996-04-27-New England Revolution-D.C. United,Regular
1996-04-28,1996,MLS,True,Tampa Bay Mutiny,FC Dallas,1,2,,,False,,False,,fbcsv-mls-1996-1996-04-28-Tampa Bay Mutiny-FC Dallas,Regular
1996-04-28,1996,MLS,True,LA Galaxy,San Jose Earthquakes,2,1,,,False,,False,,fbcsv-mls-1996-1996-04-28-LA Galaxy-San Jose Earthquakes,Regular
1996-05-01,1996,MLS,True,D.C. United,FC Dallas,3,1,,,False,,False,,fbcsv-mls-1996-1996-05-01-D.C. United-FC Dallas,Regular
1996-05-02,1996,MLS,True,Sporting Kansas City,Columbus Crew SC,6,4,,,False,,False,,fbcsv-mls-1996-1996-05-02-Sporting Kansas City-Columbus Crew SC,Regular
1996-05-04,1996,MLS,True,Red Bull New York,Tampa Bay Mutiny,4,3,,,False,,False,,fbcsv-mls-1996-1996-05-04-Red Bull New York-Tampa Bay Mutiny,Regular
1996-05-04,1996,MLS,True,New England Revolution,San Jose Earthquakes,1,2,,,False,,False,,fbcsv-mls-1996-1996-05-04-New England Revolution-San Jose Earthquakes,Regular
1996-05-05,1996,MLS,True,FC Dallas,Columbus Crew SC,1,0,,,False,,False,,fbcsv-mls-1996-1996-05-05-FC Dallas-Columbus Crew SC,Regular
1996-05-05,1996,MLS,True,Colorado Rapids,Sporting Kansas City,4,0,,,False,,False,,fbcsv-mls-1996-1996-05-05-Colorado Rapids-Sporting Kansas City,Regular
1996-05-05,1996,MLS,True,LA Galaxy,D.C. United,3,1,,,False,,False,,fbcsv-mls-1996-1996-05-05-LA Galaxy-D.C. United,Regular
1996-05-08,1996,MLS,True,San Jose Earthquakes,Colorado Rapids,3,1,,,False,,False,,fbcsv-mls-1996-1996-05-08-San Jose Earthquakes-Colorado Rapids,Regular
1996-05-08,1996,MLS,True,Tampa Bay Mutiny,Sporting Kansas City,2,0,,,False,,False,,fbcsv-mls-1996-1996-05-08-Tampa Bay Mutiny-Sporting Kansas City,Regular
1996-05-11,1996,MLS,True,Colorado Rapids,Tampa Bay Mutiny,1,2,,,False,,False,,fbcsv-mls-1996-1996-05-11-Colorado Rapids-Tampa Bay Mutiny,Regular
1996-05-11,1996,MLS,True,Columbus Crew SC,New England Revolution,3,2,,,False,,False,,fbcsv-mls-1996-1996-05-11-Columbus Crew SC-New England Revolution,Regular
1996-05-11,1996,MLS,True,Sporting Kansas City,FC Dallas,2,3,,,False,,False,,fbcsv-mls-1996-1996-05-11-Sporting Kansas City-FC Dallas,Regular
1996-05-12,1996,MLS,True,D.C. United,Red Bull New York,1,2,,,False,,False,,fbcsv-mls-1996-1996-05-12-D.C. United-Red Bull New York,Regular
1996-05-12,1996,MLS,True,San Jose Earthquakes,LA Galaxy,1,2,,,False,,False,,fbcsv-mls-1996-1996-05-12-San Jose Earthquakes-LA Galaxy,Regular
1996-05-15,1996,MLS,True,D.C. United,Columbus Crew SC,5,2,,,False,,False,,fbcsv-mls-1996-1996-05-15-D.C. United-Columbus Crew SC,Regular
1996-05-16,1996,MLS,True,Red Bull New York,Colorado Rapids,3,0,,,False,,False,,fbcsv-mls-1996-1996-05-16-Red Bull New York-Colorado Rapids,Regular
1996-05-18,1996,MLS,True,Tampa Bay Mutiny,San Jose Earthquakes,3,2,,,False,,False,,fbcsv-mls-1996-1996-05-18-Tampa Bay Mutiny-San Jose Earthquakes,Regular
1996-05-18,1996,MLS,True,FC Dallas,D.C. United,3,2,,,False,,False,,fbcsv-mls-1996-1996-05-18-FC Dallas-D.C. United,Regular
1996-05-19,1996,MLS,True,New England Revolution,Red Bull New York,2,0,,,False,,False,,fbcsv-mls-1996-1996-05-19-New England Revolution-Red Bull New York,Regular
1996-05-19,1996,MLS,True,Columbus Crew SC,Colorado Rapids,2,4,,,False,,False,,fbcsv-mls-1996-1996-05-19-Columbus Crew SC-Colorado Rapids,Regular
1996-05-19,1996,MLS,True,LA Galaxy,Sporting Kansas City,2,0,,,False,,False,,fbcsv-mls-1996-1996-05-19-LA Galaxy-Sporting Kansas City,Regular
