date,season,competition,league_match,home_team,away_team,home_score,away_score,home_pen,away_pen,penalties,shootout_winner,neutral,venue,event_id,stage
1996-11-27,1996-97,Liga MX,True,León,Toros Neza,1,2,,,False,,False,,wiki-mx-1996-97-1996-11-27-León-Toros Neza,Liguilla
1996-12-01,1996-97,Liga MX,True,Toros Neza,León,2,1,,,False,,False,,wiki-mx-1996-97-1996-12-01-Toros Neza-León,Liguilla
1996-11-27,1996-97,Liga MX,True,Monterrey,Atlas F.C.,1,5,,,False,,False,,wiki-mx-1996-97-1996-11-27-Monterrey-Atlas F.C.,Liguilla
1996-11-30,1996-97,Liga MX,True,Atlas,Monterrey,1,2,,,False,,False,,wiki-mx-1996-97-1996-11-30-Atlas-Monterrey,Liguilla
1996-12-04,1996-97,Liga MX,True,Toros Neza,Atlante,4,0,,,False,,False,,wiki-mx-1996-97-1996-12-04-Toros Neza-Atlante,Liguilla
1996-12-07,1996-97,Liga MX,True,Atlante,Toros Neza,2,5,,,False,,False,,wiki-mx-1996-97-1996-12-07-Atlante-Toros Neza,Liguilla
1996-12-04,1996-97,Liga MX,True,Atlas F.C.,Santos Laguna,1,1,,,False,,False,,wiki-mx-1996-97-1996-12-04-Atlas F.C.-Santos Laguna,Liguilla
1996-12-08,1996-97,Liga MX,True,Santos Laguna,Atlas,3,1,,,False,,False,,wiki-mx-1996-97-1996-12-08-Santos Laguna-Atlas,Liguilla
1996-12-04,1996-97,Liga MX,True,Necaxa,Guadalajara,2,0,,,False,,False,,wiki-mx-1996-97-1996-12-04-Necaxa-Guadalajara,Liguilla
1996-12-08,1996-97,Liga MX,True,Guadalajara,Necaxa,2,1,,,False,,False,,wiki-mx-1996-97-1996-12-08-Guadalajara-Necaxa,Liguilla
1996-12-04,1996-97,Liga MX,True,Toluca,Club Puebla,1,2,,,False,,False,,wiki-mx-1996-97-1996-12-04-Toluca-Club Puebla,Liguilla
1996-12-07,1996-97,Liga MX,True,Club Puebla,Toluca,0,0,,,False,,False,,wiki-mx-1996-97-1996-12-07-Club Puebla-Toluca,Liguilla
1996-12-11,1996-97,Liga MX,True,Toros Neza,Santos Laguna,0,2,,,False,,False,,wiki-mx-1996-97-1996-12-11-Toros Neza-Santos Laguna,Liguilla
1996-12-15,1996-97,Liga MX,True,Santos Laguna,Toros Neza,3,2,,,False,,False,,wiki-mx-1996-97-1996-12-15-Santos Laguna-Toros Neza,Liguilla
1996-12-11,1996-97,Liga MX,True,Necaxa,Club Puebla,3,2,,,False,,False,,wiki-mx-1996-97-1996-12-11-Necaxa-Club Puebla,Liguilla
1996-12-15,1996-97,Liga MX,True,Club Puebla,Necaxa,1,4,,,False,,False,,wiki-mx-1996-97-1996-12-15-Club Puebla-Necaxa,Liguilla
1996-12-19,1996-97,Liga MX,True,Necaxa,Santos Laguna,1,0,,,False,,False,,wiki-mx-1996-97-1996-12-19-Necaxa-Santos Laguna,Liguilla
1996-12-22,1996-97,Liga MX,True,Santos Laguna,Necaxa,4,2,,,False,,False,,wiki-mx-1996-97-1996-12-22-Santos Laguna-Necaxa,Liguilla
1997-05-07,1996-97,Liga MX,True,Tecos F.C.,Atlético Morelia,2,0,,,False,,False,,wiki-mx-1996-97-1997-05-07-Tecos F.C.-Atlético Morelia,Liguilla
1997-05-11,1996-97,Liga MX,True,Atlético Morelia,Tecos F.C.,4,0,,,False,,False,,wiki-mx-1996-97-1997-05-11-Atlético Morelia-Tecos F.C.,Liguilla
